LABEL	preprocessing_A
AGAINST	tener abandonar persona decente quedar soraya rodriguez caso socialista ir depositar votar #españaviva #españa
FAVOR	gobierno central burro ministerio exterior fracasar españa global cagar cagar justicia fiscal obtuso crecer fascista millón indepes desquiciar cuarentacinco millón unionista resumir españa acertar
FAVOR	#judicitvcatradio #juiciofarsa vergonzoso juez #marchena interrumpir abogar defensor melero cosa hablar abogar smith prou
FAVOR	perfil lider andalucia juez prevaricador bromear violacion grupo #felizsabado #apuntaminombrevox
NEUTRAL	nuevamente diferir audiencia hermanar juan seguir luchar libertar preso politicos falto libre venezuela libre
NEUTRAL	venezolano necesitar ayudar humanitario desesperadamente eeuu paises tratar ayudar militar venezuela obstruir ayudar camión contenedor ordenar maduro regimen dejar ayudar llegar poblar hambriento #estamosunidosve
FAVOR	para reinicio servir experiencia politicos ahora salir carcel seguro saldran frenar independencia proximas elección ser
AGAINST	cifrar desmontar colau delincuencia disparar barcelona #jacobialcalde #barcelona #españa #colau
NEUTRAL	eeuu entrar venezuela llevar preso nicolasmaduro regimen carnaval janeiro veran triste velorio comparar fiestón armar venezuela
FAVOR	españa opositor politicos liderar social rapero tuiteros carcel violador callar sentenciar firmar #thisistherealspain
FAVOR	señor nuestro #apuntaminombrevox numerar necesitar lapices listo persona violencia generar señor saber escribir falto ortografia
AGAINST	decir desaparecio verdad independentismo armar hacian pedir gobierno central dialogar dialogar quien mentira seguian jugar independentismo favor dejar manipular verdad
FAVOR	regulacion precio legitimacion burbuja medir fracasar paris berlin movimiento social querer referendum alquiler ligar rentar disponible hogar
AGAINST	️@mvaleriogu querer #españa dignar retribuir seguro españa sistema publicar pensionar fuerte futuro #laespañaquequieres
AGAINST	año esperar autoridad diligente salvaguardar neutralidad institución servidor publicos guardia civil mosso nego republica mossa ima
FAVOR	observador internacional juicio alertar indefension preso
FAVOR	hemeroteca relator rajoy rajoy puigdemont buscar mediacion obispo conflicto catalan
NEUTRAL	bueno dias perez cobos cordinador policial acusar impedir referendum calificar estafar plan trapero cronica sesion juicio #proces #felizmiercoles
AGAINST	triste vivir odiar pensar sacar twitts querer querer fascismo nacion peor creer raza superior saber todo republica existir engañar descaradamente
AGAINST	como noto padecer separatismo creer sinonimo alegria canción amor
FAVOR	arrimar anunciar finalmente congreso estar convencer llegar libertar democracia catalunya albert rivera gobernar españa amortizar victoria catalán diciembre mes chispum
AGAINST	fiscalia sostener publicación indepes incitar violencia
NEUTRAL	preguntar larrimadas defender catalán indepes gobierno paso llegar moncloa seguira carrera politica europa pues poner culo rivera #lnarrimadas
AGAINST	proponer elección quedao socio independentista tumbao presupuesto preocupar ir votar okupa vera sorpresita
FAVOR	despues experiencia vivir español sensato permitir volver gobernar sanchez independentista dificil entender porque narcisismo desconocimiento ideologia independentista revancha politica
AGAINST	satrapa #psoe apoyar silenciar #podemos #rusia #china #iran #coreadelnorte #maduroasesino #madurodictador sacar tonelada banco central #venezuela
AGAINST	reichpublica catalán constitucionalista desafecto regimen constitucion legalizar apartheid antiespañol reescribir historia expropiar bien borrar castellano cataluña limpieza etnica reglar
NEUTRAL	josep pintat presidente federacion andorrano esqui
FAVOR	tocar teta partir dedo manar izquierdo derecho convenir ir pandilla golfo
AGAINST	️️ bueno dias ayer claro constitucionalismo pisotear admitir separatista pasar aqui dejar noticiar
FAVOR	absolutamente lamentable censurar conferenciar perseguir exiliadosnpor motovos politicos embargar permitir presenciar neofascismo español #bastaya #shameofeurope
NEUTRAL	maduro cerrar frontero brasil estudiar colombia #venezuela
AGAINST	arrimar anunciar mañana saltar politica nacional encabezar listo barcelona
FAVOR	nostra prasident decis callar duna democracia votar
NEUTRAL	#feb año partida legar simon diaz vivir nunca simon narciso diaz marquez convirtio #tiosimon venezolano crecer destacar musicar folklorica
AGAINST	ese decreto ley tumbar diputacion permanente congreso abril electoralista saldria jugar sanchez #eleccionesvotoderechas
AGAINST	esperar canalla delincuente golpista caer penar duro cumplir integramente esperar juzgar pasar juez esperar cerrar puñetero esperar indefinido
AGAINST	paso indepes gafo pagar marcar lucir extravagante
AGAINST	#pensamiento puigdemont cinefilo ramon españa
AGAINST	reunion secreto alberto albertrivera george soro embajador marrueco anfitrión asegurar seguir invasion musulmán españa este mano patrio traficar este gravar #voxextremanecesidad
AGAINST	sumate campaña apoyar ciudadano equiparacion salarial ffccssee‍‍ ‍‍‍‍‍ ‍‍‍‍ ‍‍‍‍‍ úsalo #equiparacionya #abrilmadrid volver calle #ilpjusapol
FAVOR	leer perfectamente ademar alterar relatar olvidar año poblar llevar sufrir culpais poder destruccion democracia entero destruccion democracia provocar partido cargar derecho
AGAINST	seguidor empezar canpaña electoral querra ganar eleciones ayudar compañero #ilusionporespaña #aporlos #vamosvox #vivaespaña #voxextremanecesidad #voxavanza
FAVOR	casado inda estar koxka altsasu escenario montaje policial chaval poblar grabar entrevistar permiso dueño alli provocar reirse preso familia basura
FAVOR	bravo politicos valiente leal catalunya aprender farsante inventor maldadeslos llenar boca democracia señor verguenza vera mundo
NEUTRAL	#últimahora juan guaido desafia nicolasmaduro regresar venezuela seguir callar seguir movilizar
AGAINST	confundir desear ganar democracia explicar valiendose divertir anecdota instituto enrique
FAVOR	hacer llamamiento social calle clamar #porderechoavivienda afecto todo interpelar partido politicos mostrar apoyar exigencia legitimar necesario
AGAINST	para #laespañaquequieres frien impuesto #laespañaquequieres vender independentista #laespañaquequieres ofender insultar izquierdo independentista #laespañaquequieres mujes pensar votar
FAVOR	estar acordar afirmacion independentista pensar estar guardian status entender barrera desconocer posiblemente catastrofico secesion unilateral independentista utopia conseguir
FAVOR	castellvi identificar arran sepc cuerpo independentismo radical todo equivocar analisis riesgo juicio reanudar lunes interrogatorio defensa
FAVOR	corregir europa estar preparar algo golpe durar diplomacia español carles puigdemont quim torrar invitar parlamentar europeo conferenciar jucio octubre #judicitvcatradio #judiciproces #judicifarsa
AGAINST	todavia esperar decir anunciar josep borrell joan llorach desmontar argumento economicos usar favor independencia balanza fiscal alemán perdido millón
AGAINST	siempre quedo dudar socialista constitucionalista
AGAINST	presidente parlamentar europeo acompañar protestar venezolano romo dolor verguenza gobierno italiano maduro falto coraje interior gobierno italiano defender democracia venezuela #feb
AGAINST	desinformacion factible crear comunidad eliminarlas romper culpar indepes socio pactar
AGAINST	miriam nogueras vicepresidente pdecat elaborar argumentario caro juicio liderar independentista preso sorprender destinatario
AGAINST	mayoria catalán votar juiciovenga referendum ilegal votar vez censola mayoria catalán indepensenterate rogelio todo mentira utopia destruccionpor pelar penar cerebro
AGAINST	constitución mundo definir indivisible reformar todo ciudadano #sanchezdimision #cataluña #torra #eleccionesgeneralesy todo indivisibilidad todo paises aqui
FAVOR	encontrar resto fairy sedar òmnium #judicifarsa
NEUTRAL	vinc novar york
AGAINST	intentar sanchez españa hara españa sanchez definicion grafica #vikingosteam #nonoscallaran #lasilenciosacat #felizdomingo
FAVOR	chatarrero politico recoger ranciar sobrar casa vender cambiazo mediocre creer discursar colar mostrar acordar fila adversario #lapatriasonpersonas
FAVOR	votar votar clavar independentista votar saber opción elegir votar votar votar formar protestar pardillo caso pagar impuesto formar protestar
NEUTRAL	acordar ceder trabalho morte
FAVOR	frase resumeixen gravedad extraordinario suceder necesitar explicacion exponer nombrar autoridad conferir constitucion sala decidir preguntar #joacuso #judicifarsa
FAVOR	español convocar manifestacion colon madrid motivar traición patrio corrupcion robar fascismo campar ancho paqui pallá traicionson politicos enfermo perdonais todo
FAVOR	delegat govern reinar españa parlant #latrampadelfairy #marcaespaña #judicifarsa #spainfakejustice
AGAINST	como parlament soler cerrar torrent visitar golpista soto real poner urna delito juicio justar persecucion ideologica juzgar hecho idear politicas repetir mantra mentira proces asco
FAVOR	cada admirar poblar catalan habiles quitandose falso ines arrimar perdonar endosar jamar #graciasines #unidaspodemos echarla
FAVOR	politicos ignorante tonto sumo sanchez catalunya demanes independencia governador fugis
AGAINST	secta inventar burguesia izquierdismo mamar principio pensamiento nacionalismo etnico ultranacionalismo fascista caso arzallus ibarretxe financiar acto fascistasus idear tambien atacar difamar
FAVOR	terrorista padre extremeño votar referendum octubre asesinar pensar penar año carcel politicos catalán autenticar barbaridad mientras asesino menos
AGAINST	jugar maestro especialidad independentista tres semana juicio informe criticos supuesto observador extranjero
AGAINST	lucian calle barcelona marear pensionista luchar #pensionesdignas presente futuro #gobiernequiengobierne
AGAINST	#lnmasterizados #faqsrincondelvagotv hablar falsedad fraude cuando aclarar independentismo minoria cataluña censar autoproclamen poble #lnadacolau
NEUTRAL	libreto cuba pais imponer venezuela instalar dictadura vivir costa riqueza este acabar venezuela libre
FAVOR	#graciasines habeis entender quereis seguir politica español iros españa #savetheciudadanosmonguers #adoptaunpoliticodeciudadanos
AGAINST	español maleducado insultar australiano solidario preso politicos
AGAINST	gracia logroño febrero pasar atrás #pensionesdignas porque #gobiernequiengobierne pensionar defender nosotr@s hijo hijo gracia
AGAINST	dialogar dialogar independentista independecia hablar hablar ponian pistola mesa
AGAINST	ausencia sentir ridiculo requerir indispensable indepe
FAVOR	ideal gallego publicar foto presunto incidente causar independentista cats lampolla tarragona imagen distinguirse indicador señalar hecho producir leon vida real lampolla leon #fakenews
AGAINST	oasis catalan indepes indepes vivir armonia mentira indepes callar apoyar gobierno central optar hacerse notar
NEUTRAL	colegiar comentar jugar instant replay tomar decision validez canasta tomic
AGAINST	doloroso testimoniar hermano virgilio preso politicos vzla someter penar muerte camara lento
NEUTRAL	millo comparecio publicamente octubre advertir permitir cumplir mandato judicial requisar material electoral
AGAINST	despues escuchar ministro energia hablar cambiar medidor quedo impresionvolvemos perjudicar usuario medir tomar espalda ciudadania mientras tonto utiles derecho lgtb politicos vender
NEUTRAL	esse ministro turismo fanfarrão campanha tinha suas bandeiras prerrogativa foro conhecido foro privilegiar agora enrolar laranjal peder julgado pelar tremendo caro demissão
FAVOR	hola amiguitos españolazos meter carcel politicos catalán cumplirla corrupto ladrón defraudador zafio putero hablar vivo
FAVOR	diada catalán estructurar decadas mañana acto institucional manifestacion independentista diferenciar manifestacion igual molesto
AGAINST	#siguemeytesigovox supresion autonomias inmigracion ilegal chantaje nacionalista secesionismo cotar islam derogar ley clientelares psoe historica sectario violencia generar okupa vivienda #siguemeytesigovox
AGAINST	dictador maduro bombardear fusilar #oscarperez equipar heroes #resistencia pesar haberse rendir sucedio #ene transmision #envivo #salvadosmaduro pintar blanco paloma #españa mundo #feb
FAVOR	ser cataluña politicos nivel estadista españa corrupto barcenas rato ignorante rivera animal corbata cobarde estilar sanchez
FAVOR	cuando preguntar porque defender preso politicos decir preso politicos catalán andaluz preso nosotrosas mientras presion prision libead
AGAINST	solo mentir manipular separatista apoyar intolerable suspender compañero video mosso albert donaire echar barbaridad boca crear odiar estar
AGAINST	alarmar separatismo nulo movilizacion trasladar preso
AGAINST	inesarrimadas mucho colaborador dedicar insultar constitucionalista
FAVOR	vivir enun torturar pastar ganar impune ries oír democracia #equipobilly
AGAINST	crimen comunidad autonoma nivel gobierno nacion pedro traidor ademar comunidad restante ciudad autonomas #eleccionesvotoderechas #yoconespaña
FAVOR	ser bromar totalmente serio ganar trifachito ines arrimar presidente generalitat ganar elección tener sentir
FAVOR	seguir esperar liberacion rehén estar secuestrar lledoners puig basses denric #freetothom #llibertatpresospolitics
FAVOR	como hijo aragonés asegurar unico pisotear derecho estar español desear independencia cataluña luchar democratica firmemente conseguirla
FAVOR	echarlos acordar problema alternativo mejor necesitar ganar referendum homologar internacionalmente incontestable desobediencia boicot estar conseguirlo tambien
AGAINST	logica hecho acontecimiento sentir comun legalidad desbaratar torre verborrea independentista limpiar suciedad verter españa desenmascarar oportunismo falso relatar golpista catalán
AGAINST	noche sanchez entrevistar pactar independentista quejar hacer cordon sanitario caro proximas elección partido traicionar pagar facturar abril urna
AGAINST	estar colaborar mantenimiento gasto euro anual comisario politicos comunistassocialistas acto precedente democracia retirar doblegarse ordenar
FAVOR	madre fiscal abogacia sacar titular #presospolitics dejar ridiculo #judiciproces varapalo dar poner comodos #joacuso
AGAINST	sanchez venir mitin cantinela siempre partido constitucionalista malo poder nacionalista bueno colgar medalla psoe crear sanidad acabar crear ley igualdad
AGAINST	relatar golpe estar cataluña contar testigo constitucionalista
FAVOR	marchena prohibe preguntar abogar torrent torrrent brutal #judicitvcatradio
FAVOR	indepes aplicar restar restar partido español imponer modelar gobernar mayoria independentista
AGAINST	presentar proponer #parlament aumentar plantilla policia municipal mossos desquadra #gava #gavanecesitauncambio
AGAINST	politicos europeo oidos sordo electorado pedir dureza islam apoyar progresista aplaudir lacayo politica encaminar destruccion continente
FAVOR	seguir invertir catalunya desastre proces arrimar lidl decathlon instalar barcelona centro logisticos europa
AGAINST	este resultar explicar independentismo radical formar estructurar generalitat
AGAINST	este domingo constitucionalista llamar defender españa plaza colon pedro sanchez convocar elección dejar postrar golpista humillar español negociador vergonzante #sanchezdimision
NEUTRAL	maduro largate contundente discursar miguel bose venezuela live
AGAINST	demostrar inutil sectario nacionalismo supremacista incompetente total gestionar barcelona mismo delatar constantemente
AGAINST	preguntar junquera amigo juicio juicio penal trasfondo tertulio mitin politico afan convertirlo plataforma mensaje politicos ayudar rebajar penar
FAVOR	barcelona partir catalunya guardia civil policia nacional pasear fuerza imperial orden chuleria agresividad referir #oct fecho
AGAINST	vigilante seguridad acusar racismo mediaticamente #siguemeytesigovox
FAVOR	ninguno sorpresa seccion sala penal audiencia nacional confirmar competencia juzgar josep lluis trapero jefe politicos policia autonomica pere soler cesar puig delito rebelion teresa laplana sedicion
FAVOR	cada escuchar jerezano arrimar parlament refiriendose catalán recordar preguntar sevilla sentia andaluz muerte catalán inventar
FAVOR	ines arrimar apropiar figurar claro campoamor él liberal llorar podia leer pecar mortal votar femenino aprender algo
AGAINST	mostrar miedo partido expresarse sabran opinion gente votar tampoco parecer conforme existencia llamar democracia empezar degenerar bestia
FAVOR	decir error diplomacia ademar coartar gobierno neonaci catalanista quedar contento basto economia junquera
NEUTRAL	guaido decretar apertura frontero venezolano sabadoesos decreto valer regimen usurpador malandro moribundo
NEUTRAL	maduro echar venezuela embajador alemania
AGAINST	grande rojo desesperar nazi pilar rahola tratar lección democracia #mayoriaabsolutavox #todoesmentira
AGAINST	españa españadesde barrio corts barcelona vivo españa #vox #siguemeytesigovox
FAVOR	president generalitat cataluña anunciar aceptar condenar liderar proces pedir referendum autodeterminacion vinculante
AGAINST	cosa compromiso politico referendum competencia consejero interior forn
AGAINST	golpista preso arrojar asumir valentia acto proclamar aqui invocar pacifismo soltar comision judicial consejeria hacienda iran decir
NEUTRAL	luchar entrar maduro guaido
AGAINST	gracia gente #siguemeytesigovox #siguemetesigovox poder hilar abrirme denunciar
NEUTRAL	fuerte #tornados golpear estar alabama dejar muerto #eeuu
FAVOR	constitucion aplicar articular deberia prision monago casado compañia falsificacion documento ejercer funcionario publicos pero claro importar mandar urna callar
AGAINST	echar inepto traidor chulo plagiario guerracivilista embustero recordar presidente insultar ridiculizar gravar acordar #eleccionesgeneralesabril
AGAINST	gobierno campaña electoral basar decreto ley ver verdadero intención ninguno valorar tomar serio hora buscar alternativo real #equiparacionya #ilpjusapol #enmiendasilpjusapol
FAVOR	imaginar inglés comprar producto escocés querer independencia economia global internet español comprar producto catalán
AGAINST	cero apoyo internacional menos apoyar poblacion liderar cobarde huir renegar empresa caso puchero podemita goya perder indepes quereis contar
AGAINST	#alertaultra agredir barcelona jovenes militante comunista denunciar clima division enfrentamiento cataluña #alertaultra
FAVOR	alto traicion aceptar visperas juicio rebelion contra estar lenguaje relatar golpista relator
FAVOR	sentir partido constitucionalista coger delantero este españa español unica futuro suprimir partido independentista maxima prioridad conseguirlo
AGAINST	unico plantar caro golpista #masby #juicioproces
AGAINST	español pero señor salir constitucionalismo vender separatista #lnarrimadas #graciasines
NEUTRAL	aplicarias catalunya
AGAINST	gomez autonoma gustaria españa tolerante igualdad generar conciliador sistema fiscal devorar pequeñosojala hijo vivir españa #laespañaquequieres
FAVOR	carles puigdemont inaugurar exposicion parlamentar europeo diario
AGAINST	distanciar ciudadano societat civil catalán
FAVOR	español condenar desacordar acto cometer partido españa querer fachitas #apuntaminombrevox
AGAINST	letrado pactar derecho civil politicos firmar estar español permitia derecho autodeterminacion cuando letrado mentir sabiendas falso declaracion #lasilenciosacat #nonosengañais
AGAINST	partido colau ayuntamiento barcelona apoyar campaña juicio democracia òmnium
NEUTRAL	pelar justiça feita futebol timar superior rival roubado finalmente futebol placar ver madrid roubar champions maneira desonrosa hoje nosso rival sair zero titulos temp
AGAINST	estar claro este gentuza paido podrir ser andaluz filesa traidor españa español querer indultar golpista
FAVOR	gente callar preso jugandose talego calculos electoral brindis esperar nadie #makeamove #autodeterminacionoésdelicte #llibertatpresospoliticsiexiliats
NEUTRAL	directo distinguir compromiso politico celebrar referendum competencia conseller compromiso politico celebrar referendum admitir
FAVOR	caer palo altura sector harto seguir perder falso dialogar invalidar tardo querer acordar declaracion independencia suspendio precisamente seguir creer dialogar
FAVOR	former spanish government reportedly destroyed catalan referendum records
AGAINST	pero como montar mesa partido catalán espalda partido ganar elección hoja ruta redactar golpista sanchez ocultar
AGAINST	pero csupyd conseguir unir organización ahora candidatura barcelona socialista pactar junto barcelona caer mano indepes solo quedo ppcomo alcaldable votar
FAVOR	#judicifarsa compareix sebastian trapote #enxampat trapote confon propaganda partit politic propaganda institucional contestar respectar #nomacuerdo firmar oficiar #elindultado
AGAINST	#sanchezdimision okupa presentar nocion censurar previo elección general burlar poblar justicia votante largar
NEUTRAL	minha gente agora executivos confessaram foram pago incriminar lula acho farsa acabou fazfavor soltar lula gentileza #lulalivreja
FAVOR	fiscal creer conseller cambiar referendum forn votar risa cabrear marchena grande forn
NEUTRAL	melania trump reconocera #mujeres destacar mundo
AGAINST	#uniongc restar asociación representativo #guardiacivil exigir dimision director gestion #equiparacionsalarial
AGAINST	lider cataluña participar manifestacion independentista diada ciudadano colar traidor sitio
NEUTRAL	diego perez cobos major trapero expressar seva disconformitat decisio tsjc designarme cordinador loperatiu policial #judicitvcatradio
AGAINST	investigar agente rural uniformar manifestacion relacion deber pero perseguir trabajar perseguir independentista ésto #lasilenciosacat
AGAINST	#sanchez abdicar #torra acepto #mediador españa cataluña atacar #constitucion apelar #conciencia #diputados romper disciplinar partido escuchar representar libre #conciencia
AGAINST	cuando decir cataluña llegar transicion democracia pensar realmente hemo golpe franquista
NEUTRAL	tenho penar minhas cabelo colorir cabelo colorir muleque retardar quer
AGAINST	abortar debatir propaganda indepe london schol economics
FAVOR	españa caber dialogar españa solidaridad españa derecho social españa mejorar laboral españa educacion españa progresar #votapsoe #laespañaquequieres #siemprepsoe
AGAINST	independentista catalán entender brexit
NEUTRAL	alertar alcalde santo elena emilio gonzalez denunciar represion desproporcionar #pemones mucho herir situacion criticar municipio gran sabana estar bolivar frontero brasil
AGAINST	cataluña adoctrinamiento amenazar coaccionar asociacion subvencionar golpista querer obligar votar partido independentista normal gobierno#eleccionesvotoderechas
FAVOR	totalmente acordar sensacion conocer politicos
NEUTRAL	selectivo anotar ligero descenso mediodia pendiente eeuu chino
AGAINST	insultar despreciar españa constantemente mostrar trayectoria articulista torrar resumir nacionalismo catalan decadas realidad epico ridiculo
AGAINST	cosa cambiar sindicato mossos denunciar gestion pesima holgar independentista
FAVOR	españa estar democratico haria juicio celebrar referendum cepillar estatut constitucion contemplar encajar permitir año fascismo ser
AGAINST	contar sufrir constitucionalista familia #cataluña vivir persona presidente gobierno poblar españa pisar español libertar #barcelonanaranja
AGAINST	amenazar muerte votante discursar guerracivilista formar describirlo rufian perdonar todoque especimen inhabilitar este permitir democracia
NEUTRAL	tomar experimentar hormiguero #detectiuconanxl
AGAINST	independentista apoyar presupuesto actuación perdido
AGAINST	holanda aplicar abril pasar suspender autonomia queria independizarse pero holanda democrata
NEUTRAL	medir plataforma buscar proteger menor
AGAINST	vender cataluña separatista presidente año sanchez terminar guerra civil catalán catalán
AGAINST	carles sastre asesinar terrorista lider independentista
FAVOR	convocatorio jusapol opinion publicar europeo escandalizar pero escandalizaria tortosa contramanifesta dignidad fascismo combatir #omplimstjaume
FAVOR	dejar enriquecer dinero fundación heredero golpista enterrar dignamente muerto cuneta dejar #reclamamosrepublica renacer democracia principiolibre corrupcion podredumbre parasitos
AGAINST	vida padre moncloa begoña mujer pedro sanchezcoche oficialcinco viaje mes avion asunto privar vacación palacio ritmar vida begoña gomez mes gobiernovergonzoso #eleccionesvotoderechas
FAVOR	leganesgirona unira futbol manifestacion libertar preso
FAVOR	absolver nietisimo franco amenazar atropellar adrede conducir borracho cachondo juez politicos
FAVOR	para conferenciar carta firmar psoe #thisistherealspain
FAVOR	beber entendimientoprometiendo plus tines santo cojón
FAVOR	retransmitir #judicifarsa españa perdido tiempo quito seguir estafar informativo magnitud similar nodo
AGAINST	#stopsanchezf presidente tipo comportar tirano venir ganar traicionar españa vendiendola independentista poder #sanchezdimision #eleccionesgeneralesya
NEUTRAL	mafia comunista negocio venezuela maduro #teamhdp
AGAINST	democratas pisar derecho independentista mayoria democracia unir otro engañeis
NEUTRAL	catalunya españa tenista mallorquin opinar mexico situacion politica calmar necesitar estabilidad
NEUTRAL	vencer estreia ainda fora casa sempre muito parabens rapaziada seguir firme #issoaquieflamengo
FAVOR	criticais independentista venir antiguo vender humo izquierdo llegais soler zapato
AGAINST	bonito campaña cariño odiar envidiar solo hashtag #siguemeytesigovox hacer seguir retuitean seguir seguir escribir tuit hashtag #siguemeytesigovox #porespaña #españaviva apoyar
AGAINST	aqui diferenciar #voxextremanecesidad educacion español #siguemeytesigovox #porespaña #españaviva
FAVOR	puigdemont llegar hora formular continuacion efectivo reunion participar poble lliureq manifestar voluntad adscribirse organismo pedir militante inscribir consell
FAVOR	democracia cost tribunal supremo nido facha odiar indepes darnos escarmentar
FAVOR	padre sevilla granar venir jovencito catalunya casar aqui aqui cotizar moriran sentir catalán indepes querer votar entender preso politicos facha
FAVOR	durante interrogatorio fiscalia joaquim forn afirmar dejar mossos desquadra debian cumplir norma señor puigdemont aceptar
NEUTRAL	deserción fuerza maduro frenar ayudar internacional
AGAINST	gabriel rufian amenazar votante discursar gracia pedro sanchez nunca abril ganar #siguemeytesigovox #españaviva
NEUTRAL	ema garcia criticar entrevistar abuelo julen cobrar
AGAINST	tener caro amargar parecer sintonia indepes ridicula costumbre catolicocatalana excursión monte cruzar
AGAINST	perez cobos pidio puigdemont desconvocar referendum
AGAINST	solo falto cama encimar cornudo apalear pero golpista victimar creido españa basura punto torrar pidio sanchez reunion cataluña país
NEUTRAL	falar todo andar poucos confiar somente deus
AGAINST	construir gobierno liderar ciudadano centro #lnarrimadas #graciasines
FAVOR	oposicion venezolano tanto democracia bajo bandera poblar bandera estar unir sera querer votar donald trump
NEUTRAL	reynes sacar naturgy perdido
NEUTRAL	tomar directo imposiblegracias corazon igualmente
NEUTRAL	
AGAINST	mayor victimar separatismo supremacista vivir cataluña
NEUTRAL	onde quebra último rolou bailar nessa ficou
AGAINST	#sancheztraidoraespaña guionista campaña poder lavar vinculos secreto soro gobierno sanchez esperar #defiendeespaña #eleccionesvotoderechas
FAVOR	montserrat toro incomunicar porque mundo saber departamento economia comunidad telefonos fijo ridiculo #judicitvcatradio
FAVOR	seguir esperar liberacion rehén estar secuestrar lledoners puig basses denric #freetothom #usvolemacasa #llibertatpresospolitics
FAVOR	reinar rociar ines arrimar declarar defacto translada waterlo fiesta falto venta peineta gramo cafe peninsula waterlo ciudad europa peineta fuckyou cafe drogar blanco enfermar mitad
AGAINST	antiecologistas importar preso llenarlo basura contaminar poder solo escarabajo pelotero vivir rodear mierda
AGAINST	arrimar recordar psoe esperar volver pactar separatista darles indultar caso sentenciar juicio proces absolutorio
FAVOR	manar indepe echarles comer apartar fortuna variar opinión resultar electoral soler normal apuntar tendencia twitter
FAVOR	españa puto dictadura funcionarial mayoria representante expoliador juez residir castilla recibir privilegio derecho conquistar derecho puto idear desde sobornar subditos politicos
AGAINST	dejar bicis alquiler zaragoza beneplacito alcalde podemita pedro santiesteve rochay este todo #eleccionesvotoderechas #lasilenciosacat
FAVOR	exactamente poder ahora cobrar impuesto sentarte prohibir partido politicos sentir español denegarle entrar murcia objetivo poder depender color gobierno
AGAINST	creeis chupar dedo creeis superior separatista catalán mamarracho
FAVOR	entrar marketing secta partido descomposicion solapandose modelar partidoempresa modelar partidosecta quedar partido tomar democracia serio ser
FAVOR	franco nacionalismo mental imponer matar mil inocente piedad concienciapero victimar derecho
AGAINST	esperar poner calefaccion individual pensais hotel vacación #lasilenciosacat #larepublicanoexisteidiota rull denunciar greus condicions patir soto real
AGAINST	ministro interior anulacion inmediato suspension expedientar compañero grabar video #firmay #jusapol #equiparacionya #lasilenciosacat
AGAINST	beatriz talegon asesorar presidente politica constitucion diario
FAVOR	repulsivo video álvaro ojeda dedicar rufian trasladar preso
AGAINST	encantaria indepes soltar bilis montserrat toro situacion
AGAINST	unica opcion pedro sanchez llegar moncloa manar partido separatista unica #lnarrimadas #graciasines
AGAINST	decreto para tener legalmente posibilidad ampliacion urgente extremo necesidad impredecible para bien #españa deberia llevar ante tribunal prevalicador como mínimo igual sanidad universal solo
AGAINST	aceptar cordinador relator llamar aceptar negociación gobierno español autonomico cesion soberania golpista menos españa cataluña estar distinto regalarles
NEUTRAL	novar ressenya blog eines matar drac mayra olivera
AGAINST	cancer #españa perla pondre abajar gustaria poner dejar metastasis pedro guapo breve gustar llamar febrero otegi hombre
FAVOR	cuando derechona cutre español pedir catalunya pedir fastidiar votante cuando pedir republica mejor pedir todo votante derechona cutre ligero diferenciar
AGAINST	para contar pacificar coaccionar catalán independentista basto
AGAINST	hola criticais reclamar padre decidir libead educar hijo reclamar cumplir palabra escola valenciano entidad pancatalanista subvencionar separatismo catalan
FAVOR	srmillo sorpresa venganza castigar poblar catalan urna dejar ostracismo mentira armar venganza fairy suficiente mundo limpiar imagen #judicifarsa
NEUTRAL	anunciar arrimar sensacion deabandonotras lograr parlament
FAVOR	doblar varar medir parlamentar europeo puigdemont
AGAINST	cuando entrar creia proyecto nosotros seguir crecer atraer persona politica desencantar proyecto politicos #losdesayunos
FAVOR	sabino santiagoabascal obsesionar quimtorra puigdemont alguno explicacion habra
AGAINST	sentir pesame familia amigo jose pedro perezllorca padre constitucion referente democratas gracia hacer restar ponente democracia libertar progresar españa
AGAINST	puigdemont gritar munch xavier sardo
AGAINST	salir constantemente mentira dejar evidenciar idiotez traicion mayoria catalanase fondo realidadpero supremacismo etnicismo xenofobia odiar indepe acabar debilitar cerebro convertir irracional
FAVOR	#juicioalproces juez fiscal politicos acusador meter solitos ratonero mundo pasar descubrira malo venezolano nicolasmaduro español
NEUTRAL	estar delgado gimnasio comprar paquete chuches ultraprocesadas clase jodidamente
FAVOR	ver partido unionista gobernar llegar mayoria decir demostrar votar gobernar partido corrupto democracia partido ultra derecho confianza
AGAINST	libro sanchez bombo zarzuela presentarse salvador felontraidorokupamentiroso narcisistaplagiador podemita este esperpento salvar españa #eleccionesvotoderechas
FAVOR	faltaria periodista subir vehiculos medio estatal mundo razon conspiracion golpista
NEUTRAL	venezuela índice estar derecho mundo
AGAINST	ciudadano descartar reunion puigdemont viajar arrimar waterlo
FAVOR	admirose castellano reinar unir resolver golpe estar democracia tino poner urna votar poner urna votar ltarte diabolico esgt asombrar casado ltnosotros apoyar albert resolver palosgt
FAVOR	armar supuestamente robar pero paso fiscal construir caso inda diario periodico indepe precisamente #devastados #judicidelavergonya #llibertatpresospolitics
NEUTRAL	corrupção politicoeleitoral retrocesso costumes militarização educação enfraquecimento estar laico demonização diferença enquadramento minorias viralatismo politica externo
NEUTRAL	gracia senador congresista embajador visitar realizar cucuta realidad vivir venezolano frontero gracia apoyar poblar venezolano #feb
